Authors,Article Title,Source Title,Publication Year,DOI,n_taxa,class,order,market_type,overexploitation_focus,market_price_lower,market_price_upper,currency_unit,longitudinal_price,abundance,abundance_metric,described_rare,rarity_category,price_abundance_link,evidence_aae
"Morcatty, TQ; Valsecchi, J","Social, biological, and environmental drivers of the hunting and trade of the endangered yellow-footed tortoise in the Amazon",ECOLOGY AND SOCIETY,2015,10.5751/ES-07701-200303,1,reptilia,testudines,food,1,1.5,6.5,USD,1,1,volume,1,"threat,pop_trend",1,NA
"Patoka, J; Kalous, L; Kopecky, O",Imports of ornamental crayfish: the first decade from the Czech Republic's perspective,KNOWLEDGE AND MANAGEMENT OF AQUATIC ECOSYSTEMS,2015,10.1051/kmae/2014040,1,malacostraca,decapoda,pet,1,0.76,4.72,EUR,1,1,volume,0,NA,1,NA
"Yasue, M; Nellas, A; Panes, H; Vincent, ACJ",Monitoring landed seahorse catch in a changing policy environment,ENDANGERED SPECIES RESEARCH,2015,10.3354/esr00643,1,actinopterygii,syngnathiformes,medicinal,1,2,40,PHP,1,1,"volume,conservation",1,threat,1,NA
"Gao, YF; Clark, SG",Elephant ivory trade in China: Trends and drivers,BIOLOGICAL CONSERVATION,2014,10.1016/j.biocon.2014.09.020,1,mammalia,proboscidea,product,1,1.03,4.55,USD,0,1,volume,1,threat,0,NA
"Tsikliras, AC; Polymeros, K",Fish market prices drive overfishing of the 'big ones',PEERJ,2014,10.7717/peerj.638,42,actinopterygii,NA,food,1,NA,NA,NA,1,1,volume,0,NA,1,NA
"Nijman, V; Shepherd, CR",Emergence of Mong La on the Myanmar-China border as a global hub for the international trade in ivory and elephant parts,BIOLOGICAL CONSERVATION,2014,10.1016/j.biocon.2014.08.010,1,mammalia,proboscidea,product,1,68,9719,USD,1,0,NA,1,threat,0,NA
"Pinho, M; Diogo, H; Carvalho, J; Pereira, JG","Harvesting juveniles of blackspot sea bream (Pagellus bogaraveo) in the Azores (Northeast Atlantic): biological implications, management, and life cycle considerations",ICES JOURNAL OF MARINE SCIENCE,2014,10.1093/icesjms/fsu089,1,actinopterygii,perciformes,food,1,2.4,13,EUR,0,1,volume,0,NA,0,NA
"Tella, JL; Hiraldo, F","Illegal and Legal Parrot Trade Shows a Long-Term, Cross-Cultural Preference for the Most Attractive Species Increasing Their Risk of Extinction",PLOS ONE,2014,10.1371/journal.pone.0107546,22,aves,psittaciformes,pet,1,NA,NA,NA,0,1,"volume,conservation",1,threat,0,NA
"Barros, FB; Azevedo, PD","Common opossum (Didelphis marsupialis Linnaeus, 1758): food and medicine for people in the Amazon",JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,2014,10.1186/1746-4269-10-65,1,mammalia,didelphimorphia,"food,medicinal",1,4.5,18,USD,0,1,pop_trend,0,NA,0,NA
"Wittemyer, G; Northrup, JM; Blanc, J; Douglas-Hamilton, I; Omondi, P; Burnham, KP",Illegal killing for ivory drives global decline in African elephants,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,2014,10.1073/pnas.1403984111,1,mammalia,proboscidea,product,1,25,125,USD,1,1,"volume,pop_trend",1,threat,1,NA
"Challender, DWS; MacMillan, DC",Poaching is more than an Enforcement Problem,CONSERVATION LETTERS,2014,10.1111/conl.12082,10,mammalia,"carnivora,pholidota,artiodactyla,perissodactyla,proboscidea",NA,1,NA,NA,NA,0,1,"pop_trend,conservation",1,threat,1,NA
"Purcell, SW; Polidoro, BA; Hamel, JF; Gamboa, RU; Mercier, A",The cost of being valuable: predictors of extinction risk in marine invertebrates exploited as luxury seafood,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,2014,10.1098/rspb.2013.3296,377,holothuroidea,synallactida,"food,medicinal",1,15,2000,USD,0,1,"conservation,range",1,threat,1,NA
"Purcell, SW","Value, Market Preferences and Trade of Beche-De-Mer from Pacific Island Sea Cucumbers",PLOS ONE,2014,10.1371/journal.pone.0095075,NA,holothuroidea,synallactida,"food,medicinal",1,15,385,USD,0,1,volume,1,threat,0,NA
"Golden, CD; Bonds, MH; Brashares, JS; Rasolofoniaina, BJR; Kremen, C",Economic Valuation of Subsistence Harvest of Wildlife in Madagascar,CONSERVATION BIOLOGY,2014,10.1111/cobi.12174,22,mammalia,"primates,chiroptera,carnivora,artiodactyla",food,1,0.24,9.8,USD,0,1,volume,0,NA,1,NA
"Manez, KS; Dandava, L; Ekau, W",Fishing the last frontier: The introduction of the marine aquarium trade and its impact on local fishing communities in Papua New Guinea,MARINE POLICY,2014,10.1016/j.marpol.2013.09.018,6,"actinopterygii,asteroidea","acanthuriformes,valvatida,perciformes",pet,0,0.22,25,USD,0,0,NA,0,NA,0,NA
"Phelps, J; Carrasco, LR; Webb, EL",A Framework for Assessing Supply-Side Wildlife Conservation,CONSERVATION BIOLOGY,2014,10.1111/cobi.12160,1,orchidaceae,orchidacae,pet,1,11.6,15,USD,0,1,"volume,pop_trend",1,pop_trend,1,NA
"Lyons, JA; Natusch, DJD",Effects of consumer preferences for rarity on the harvest of wild populations within a species,ECOLOGICAL ECONOMICS,2013,10.1016/j.ecolecon.2013.06.004,1,reptilia,serpentes,"pet,product",1,NA,NA,NA,0,1,"conservation,pop_trend",1,"threat,pop_trend",1,NA
"Jorge, AA; Vanak, AT; Thaker, M; Begg, C; Slotow, R","Costs and Benefits of the Presence of Leopards to the Sport-Hunting Industry and Local Communities in Niassa National Reserve, Mozambique",CONSERVATION BIOLOGY,2013,10.1111/cobi.12082,1,mammalia,carnivora,trophy,1,20000,30000,USD,0,0,NA,0,NA,0,NA
"Vigne, L",Recent findings on the ivory and rhino-horn trade in Lao People's Democratic Republic,PACHYDERM,2013,NA,1,mammalia,proboscidea,product,1,275,1282,USD,1,0,NA,1,threat,0,NA
"Van den Bergh, MOL; Kusters, K; Dietz, AJ",Destructive attraction: factors that influence hunting pressure on the Blue Bird-of-paradise Paradisaea rudolphi,BIRD CONSERVATION INTERNATIONAL,2013,10.1017/S0959270913000233,1,aves,passeriformes,product,1,5,300,PGK,0,1,pop_trend,1,"threat,endemic,range",0,NA
"Varble, S; Secchi, S",Human consumption as an invasive species management strategy. A preliminary assessment of the marketing potential of invasive Asian carp in the US,APPETITE,2013,10.1016/j.appet.2013.01.022,2,actinopterygii,cypriniformes,food,0,2.35,10.8,USD,0,0,NA,0,NA,0,NA
"Liang, W; Cai, Y; Yang, CC","Extreme levels of hunting of birds in a remote village of Hainan Island, China",BIRD CONSERVATION INTERNATIONAL,2013,10.1017/S0959270911000499,78,aves,NA,"medicinal,food",1,3,100,RMB,0,1,"volume,conservation",1,"threat,endemic",0,NA
"Shrestha, UB; Bawa, KS","Trade, harvest, and conservation of caterpillar fungus (Ophiocordyceps sinensis) in the Himalayas",BIOLOGICAL CONSERVATION,2013,10.1016/j.biocon.2012.10.032,1,sordariomycetes,hypocreales,medicinal,1,80000,1600000,NPR,1,1,"volume,pop_trend",1,"threat,range",1,NA
"Bhupathy, S; Kumar, SR; Thirumalainathan, P; Paramanandham, J; Lemba, C","Wildlife exploitation: a market survey in Nagaland, North-eastern India",TROPICAL CONSERVATION SCIENCE,2013,10.1177/194008291300600206,47,"mammalia,aves,amphibia,gastropoda",NA,food,1,20,3000,INR,0,1,"conservation,volume",0,NA,0,NA
"Chucholl, C",Invaders for sale: trade and determinants of introduction of ornamental freshwater crayfish,BIOLOGICAL INVASIONS,2013,10.1007/s10530-012-0273-2,37,malacostraca,decapoda,pet,0,5,25,EUR,0,0,NA,0,NA,0,NA
"Laksanawimol, P; Petpiroon, S; Damrongphol, P","TRADE OF SEAHORSES, HIPPOCAMPUS SPP. (ACTINOPTERYGII: SYNGNATHIFORMES: SYNGNATHIDAE), ON THE EAST COAST OF THE GULF OF THAILAND",ACTA ICHTHYOLOGICA ET PISCATORIA,2013,10.3750/AIP2013.43.3.07,4,actinopterygii,syngnathiformes,"pet,medicinal",1,0.6,23.1,USD,0,1,volume,1,pop_trend,0,NA
"Rhyne, AL; Tlusty, MF; Kaufman, L",Long-term trends of coral imports into the United States indicate future opportunities for ecosystem and societal benefits,CONSERVATION LETTERS,2012,10.1111/j.1755-263X.2012.00265.x,NA,hexacorallia,NA,product,1,5,500,USD,0,1,volume,1,threat,1,NA
"Aheto, DW; Asare, NK; Quaynor, B; Tenkorang, EY; Asare, C; Okyere, I","Profitability of Small-Scale Fisheries in Elmina, Ghana",SUSTAINABILITY,2012,10.3390/su4112785,16,actinopterygii,NA,food,1,0.52,3.14,USD,0,1,volume,0,NA,0,NA
"Alves, RRN; Rosa, IL; Neto, NAL; Voeks, R",Animals for the Gods: Magical and Religious Faunal Use and Trade in Brazil,HUMAN ECOLOGY,2012,10.1007/s10745-012-9516-1,129,"mammalia,gastropoda,actinopterygii,aves,reptilia",NA,medicinal,1,1,200,BRL,0,0,NA,0,NA,0,NA
"Pangau-Adam, M; Noske, R; Muehlenberg, M","Wildmeat or Bushmeat? Subsistence Hunting and Commercial Harvesting in Papua (West New Guinea), Indonesia",HUMAN ECOLOGY,2012,10.1007/s10745-012-9492-5,12,"mammalia,reptilia",NA,food,1,2.9,50,USD,0,1,"volume,conservation",1,"threat,endemic",0,NA
"Prescott, GW; Johnson, PJ; Loveridge, AJ; Macdonald, DW",Does change in IUCN status affect demand for African bovid trophies?,ANIMAL CONSERVATION,2012,10.1111/j.1469-1795.2011.00506.x,NA,mammalia,artiodactyla,trophy,1,NA,NA,USD,0,1,conservation,1,threat,1,NA
"Tournant, P; Joseph, L; Goka, K; Courchamp, F",The rarity and overexploitation paradox: stag beetle collections in Japan,BIODIVERSITY AND CONSERVATION,2012,10.1007/s10531-012-0253-y,NA,insecta,coleoptera,trophy,1,0,2250,USD,0,1,perception,1,abundance,1,NA
"Regueira, RFS; Bernard, E",Wildlife sinks: Quantifying the impact of illegal bird trade in street markets in Brazil,BIOLOGICAL CONSERVATION,2012,10.1016/j.biocon.2012.02.009,55,aves,"passeriformes,psittaciformes,columbiformes,piciformes",pet,1,1.1,167,USD,0,1,volume,1,abundance,1,NA
"Foerster, S; Wilkie, DS; Morelli, GA; Demmer, J; Starkey, M; Telfer, P; Steil, M; Lewbel, A","Correlates of Bushmeat Hunting among Remote Rural Households in Gabon, Central Africa",CONSERVATION BIOLOGY,2012,10.1111/j.1523-1739.2011.01802.x,NA,"mammalia,reptilia",NA,food,1,307,2480,CFA,0,0,NA,0,NA,0,NA
"van Vliet, N; Nebesse, C; Gambalemoke, S; Akaibe, D; Nasi, R","The bushmeat market in Kisangani, Democratic Republic of Congo: implications for conservation and food security",ORYX,2012,10.1017/S0030605311000202,18,"mammalia,insecta","rodentia,artiodactyla,primates,lepidoptera",food,1,0.3,3.7,USD,1,1,conservation,1,threat,0,NA
"Macdonald, DW; Johnson, PJ; Albrechtsen, L; Seymour, S; Dupain, J; Hall, A; Fa, JE",Bushmeat trade in the Cross-Sanaga rivers region: Evidence for the importance of protected areas,BIOLOGICAL CONSERVATION,2012,10.1016/j.biocon.2011.12.018,3,mammalia,"rodentia,artiodactyla,primates",food,1,NA,NA,NA,0,0,NA,0,NA,0,NA
"Kapfer, PM; Potts, KB",Socioeconomic and ecological correlates of bobcat harvest in Minnesota,JOURNAL OF WILDLIFE MANAGEMENT,2012,10.1002/jwmg.284,1,mammalia,carnivora,product,1,NA,NA,NA,1,1,volume,0,NA,0,NA
"Palazy, L; Bonenfant, C; Gaillard, JM; Courchamp, F","Rarity, trophy hunting and ungulates",ANIMAL CONSERVATION,2012,10.1111/j.1469-1795.2011.00476.x,427,mammalia,"artiodactyla,perissodactyla",trophy,1,NA,NA,NA,1,1,"conservation,range",1,"threat,range",1,NA
"Ortega, L; Castilla, JC; Espino, M; Yamashiro, C; Defeo, O","Effects of fishing, market price, and climate on two South American clam species",MARINE ECOLOGY PROGRESS SERIES,2012,10.3354/meps10016,2,bivalvia,venerida,food,NA,NA,NA,USD,1,1,volume,0,NA,1,NA
"Scheffers, BR; Corlett, RT; Diesmos, A; Laurance, WF",Local demand drives a bushmeat industry in a Philippine forest preserve,TROPICAL CONSERVATION SCIENCE,2012,10.1177/194008291200500203,22,"insecta,gastropoda,amphibia,reptilia,aves,mammalia","hymenoptera,stylommatophora,anura,serpentes,galliformes,columbiformes,bucerotiformes,primates,carnivora,artiodactyla,chiroptera,rodentia",food,1,50,300,PHP,0,1,conservation,1,threat,1,NA
"Kamins, AO; Restif, O; Ntiamoa-Baidu, Y; Suu-Ire, R; Hayman, DTS; Cunningham, AA; Wood, JLN; Rowcliffe, JM","Uncovering the fruit bat bushmeat commodity chain and the true extent of fruit bat hunting in Ghana, West Africa",BIOLOGICAL CONSERVATION,2011,10.1016/j.biocon.2011.09.003,1,mammalia,chiroptera,food,1,0.65,1.29,USD,0,1,volume,1,threat,0,NA
"Macdonald, DW; Johnson, PJ; Albrechtsen, L; Dutton, A; Seymour, S; Dupain, J; Hall, A; Fa, JE",Association of Body Mass with Price of Bushmeat in Nigeria and Cameroon,CONSERVATION BIOLOGY,2011,10.1111/j.1523-1739.2011.01741.x,NA,"aves,mammalia,reptilia,gastropoda",NA,food,1,1.3,28.75,USD,0,1,volume,0,NA,0,NA
"Kristianto, I; Jepson, P","Harvesting orange-headed thrush Zoothera citrina chicks in Bali, Indonesia: magnitude, practices and sustainability",ORYX,2011,10.1017/S0030605310001481,1,aves,passeriformes,pet,1,NA,NA,IDR,1,1,volume,1,threat,0,NA
"Rosa, IL; Oliveira, TPR; Osorio, FM; Moraes, LE; Castro, ALC; Barros, GML; Alves, RRN","Fisheries and trade of seahorses in Brazil: historical perspective, current trends, and future directions",BIODIVERSITY AND CONSERVATION,2011,10.1007/s10531-011-0068-2,NA,actinopterygii,syngnathiformes,medicinal,1,NA,NA,USD,0,1,volume,1,threat,0,NA
"Palazy, L; Bonenfant, C; Gaillard, JM; Courchamp, F",Cat Dilemma: Too Protected To Escape Trophy Hunting?,PLOS ONE,2011,10.1371/journal.pone.0022424,10,mammalia,carnivora,trophy,1,NA,NA,NA,1,1,"conservation,volume",1,threat,1,NA
"Rao, M; Zaw, T; Htun, S; Myint, T","Hunting for a Living: Wildlife Trade, Rural Livelihoods and Declining Wildlife in the Hkakaborazi National Park, North Myanmar",ENVIRONMENTAL MANAGEMENT,2011,10.1007/s00267-011-9662-z,20,mammalia,NA,"food,medicinal,product",1,NA,NA,NA,0,1,volume,1,threat,0,NA
"Renjithkumar, CR; Harikrishnan, M; Kurup, BM","Exploited fisheries resources of the Pampa River, Kerala, India",INDIAN JOURNAL OF FISHERIES,2011,NA,60,actinopterygii,NA,"food,pet",1,30,200,INR,0,1,"conservation,volume",1,threat,0,NA
"Shepherd, CR","Observations on trade in laughingthrushes (Garrulax spp.) in North Sumatra, Indonesia",BIRD CONSERVATION INTERNATIONAL,2011,10.1017/S0959270910000274,10,aves,passeriformes,pet,1,10,100,USD,0,1,"conservation,volume",1,"threat,endemic",1,NA
"Liu, F; McShea, WJ; Garshelis, DL; Zhu, XJ; Wang, DJ; Shao, LK",Human-wildlife conflicts influence attitudes but not necessarily behaviors: Factors driving the poaching of bears in China,BIOLOGICAL CONSERVATION,2011,10.1016/j.biocon.2010.10.009,1,mammalia,carnivora,medicinal,1,700,2600,USD,0,0,NA,1,threat,0,NA
"Mahmood, T; Shah, SMA; Rais, M; Nadeem, MS",AN INVESTIGATION OF ANIMAL SPECIES TRADE AT PET SHOPS OF RAWALPINDI AND MULTAN CITIES,JOURNAL OF ANIMAL AND PLANT SCIENCES,2011,NA,NA,"mammalia,aves,reptilia,actinopterygii",NA,NA,1,40,2200,PKR,0,1,volume,1,threat,1,NA
"Tapley, B; Griffiths, RA; Bride, I",Dynamics of the trade in reptiles and amphibians within the United Kingdom over a ten-year period,HERPETOLOGICAL JOURNAL,2011,NA,NA,"reptilia,amphibia","serpentes,squamata,testudines,crocodilia,anura,urodela,caecilia",pet,1,NA,NA,NA,1,0,NA,1,threat,0,NA
"Brooks, EGE; Roberton, SI; Bell, DJ",The conservation impact of commercial wildlife farming of porcupines in Vietnam,BIOLOGICAL CONSERVATION,2010,10.1016/j.biocon.2010.07.030,1,mammalia,rodentia,"food,medicinal",1,NA,NA,NA,0,0,NA,0,NA,0,NA
"Johnson, PJ; Kansky, R; Loveridge, AJ; Macdonald, DW","Size, Rarity and Charisma: Valuing African Wildlife Trophies",PLOS ONE,2010,10.1371/journal.pone.0012866,NA,mammalia,"carnivora,artiodactyla",trophy,1,NA,NA,NA,0,1,conservation,1,threat,1,NA
"Brooks, SE; Allison, EH; Gill, JA; Reynolds, JD","Snake prices and crocodile appetites: Aquatic wildlife supply and demand on Tonle Sap Lake, Cambodia",BIOLOGICAL CONSERVATION,2010,10.1016/j.biocon.2010.05.023,NA,reptilia,serpentes,food,1,0.2,0.8,USD,1,1,volume,1,"threat,endemic",0,NA
"Chaber, AL; Allebone-Webb, S; Lignereux, Y; Cunningham, AA; Rowcliffe, JM",The scale of illegal meat importation from Africa to Europe via Paris,CONSERVATION LETTERS,2010,10.1111/j.1755-263X.2010.00121.x,11,"mammalia,reptilia","primates,artiodactyla,rodentia,pholidota,proboscidea,crocodilia",food,1,20,30,EUR,0,1,volume,1,threat,0,NA
"Rao, M; Htun, S; Zaw, T; Myint, T","Hunting, Livelihoods and Declining Wildlife in the Hponkanrazi Wildlife Sanctuary, North Myanmar",ENVIRONMENTAL MANAGEMENT,2010,10.1007/s00267-010-9519-x,NA,"mammalia,aves",NA,"food,medicinal,product",1,NA,NA,NA,0,1,volume,1,threat,0,NA
"Kuhl, A; Balinova, N; Bykova, E; Arylov, YN; Esipov, A; Lushchekina, AA; Milner-Gulland, EJ","The role of saiga poaching in rural communities: Linkages between attitudes, socio-economic circumstances and behaviour",BIOLOGICAL CONSERVATION,2009,10.1016/j.biocon.2009.02.009,1,mammalia,artiodactyla,"food,medicinal",1,10.13,88.38,USD,0,1,pop_trend,1,threat,0,NA
"Krishnakumar, K; Raghavan, R; Pereira, B","Protected on paper, hunted in wetlands: exploitation and trade of freshwater turtles (Melanochelys trijuga coronata and Lissemys punctata punctata) in Punnamada, Kerala, India",TROPICAL CONSERVATION SCIENCE,2009,10.1177/194008290900200306,2,reptilia,testudines,food,1,30,50,INR,0,1,volume,1,threat,0,NA
"Soewu, DA; Ayodele, IA","Utilisation of Pangolin (Manis sps) in traditional Yorubic medicine in Ijebu province, Ogun State, Nigeria",JOURNAL OF ETHNOBIOLOGY AND ETHNOMEDICINE,2009,10.1186/1746-4269-5-39,1,mammalia,pholidota,medicinal,1,1500,2000,NGN,0,1,volume,1,threat,0,NA
"Strandby, U; Olsen, CS",The importance of understanding trade when designing effective conservation policy - The case of the vulnerable Abies guatemalensis Rehder,BIOLOGICAL CONSERVATION,2008,10.1016/j.biocon.2008.08.023,1,pinopsida,pinales,product,1,16.2,19.3,USD,1,1,volume,1,threat,0,NA
"Rowley, JJL; Emmett, DA; Voen, S","Harvest, trade and conservation of the Asian arowana Seleroplages formosus in Cambodia",AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,2008,10.1002/aqc.937,1,actinopterygii,osteoglossiformes,pet,1,11,13,USD,0,0,NA,1,threat,0,NA
"Ndibalema, VG; Songorwa, AN",Illegal meat hunting in serengeti: dynamics in consumption and preferences,AFRICAN JOURNAL OF ECOLOGY,2008,10.1111/j.1365-2028.2007.00836.x,NA,"mammalia,actinopterygii","artiodactyla,perciformes,cypriniformes,cichliformes",food,1,0.47,1.31,USD,0,1,"abundance,volume",0,NA,0,NA
"Andersen, US; Cordova, JPP; Nielsen, UB; Olsen, CS; Nielsen, C; Sorensen, M; Kollmann, J",Conservation through utilization: a case study of the Vulnerable Abies guatemalensis in Guatemala,ORYX,2008,10.1017/S0030605308007588,1,pinopsida,pinales,product,1,14.4,14.4,USD,1,0,NA,1,threat,0,NA
"Shepherd, CR; Nijman, V",The trade in bear parts from Myanmar: an illustration of the ineffectiveness of enforcement of international wildlife trade regulations,BIODIVERSITY AND CONSERVATION,2008,10.1007/s10531-007-9228-9,2,mammalia,carnivora,medicinal,1,4,40,USD,1,1,volume,1,threat,0,NA
"Albrechtsen, L; David, WMA; Paul, JJ; Ramon, C; Fa, JE",Faunal loss from bushmeat hunting: empirical evidence and policy implications in Bioko island,ENVIRONMENTAL SCIENCE & POLICY,2007,10.1016/j.envsci.2007.04.007,16,"mammalia,aves,reptilia","artiodactyla,primates,rodentia,pholidota,hyracoidea,testudines,squamata,serpentes,accipitriformes,bucerotiformes,musophagiformes",food,1,3,43,USD,1,1,volume,0,NA,1,NA
"Verlecar, XN; Snigdha; Desai, SR; Dhargalkar, VK",Shark hunting - an indiscriminate trade endangering elasmobranchs to extinction,CURRENT SCIENCE,2007,NA,NA,chondrichthyes,selachimorpha,"food,medicinal",1,25,340,USD,1,1,volume,1,threat,0,NA
"Alves, RRD; Pereira, GA",Commercialization and use of snakes in North and Northeastern Brazil: Implications for conservation and management,BIODIVERSITY AND CONSERVATION,2007,10.1007/s10531-006-9036-7,11,reptilia,serpentes,medicinal,1,4.5,24,USD,0,0,NA,0,NA,0,NA
"Carpaneto, GM; Fusari, A; Okongo, H","Subsistence hunting and exploitation of mammals in the Haut-Ogooud province, south-eastern Gabon",JOURNAL OF ANTHROPOLOGICAL SCIENCES,2007,NA,14,mammalia,"artiodactyla,rodentia,primates,pholidota,carnivora",food,1,500,50000,CFA,0,1,volume,0,NA,0,NA
"Nijman, V; Shepherd, CR","Trade in non-native, CITES-listed, wildlife in Asia, as exemplified by the trade in freshwater turtles and tortoises (Chelonidae) in Thailand",CONTRIBUTIONS TO ZOOLOGY,2007,10.1163/18759866-07603007,29,reptilia,testudines,pet,1,14,2009,USD,0,1,"volume,conservation",1,"threat,morph",1,NA
"Gong, SP; Wang, JC; Shi, HT; Song, RH; Xu, RM","Illegal trade and conservation requirements of freshwater turtles in Nanmao, Hainan Province, China",ORYX,2006,10.1017/S0030605306000949,8,reptilia,testudines,pet,1,10,2000,USD,0,1,"volume,conservation",1,threat,1,NA
