Authors,Article Title,Source Title,Publication Year,DOI,n_taxa,class,order,market_type,overexploitation_focus,market_price_lower,market_price_upper,currency_unit,longitudinal_price,abundance,abundance_metric,described_rare,rarity_category,price_abundance_link,evidence_aae
"Siriwat, P; Nijman, V",Illegal pet trade on social media as an emerging impediment to the conservation of Asian otters species,JOURNAL OF ASIA-PACIFIC BIODIVERSITY,2018,10.1016/j.japb.2018.09.004,2,mammalia,carnivora,pet,1,39,203,USD,1,1,volume,1,threat,1,NA
"Kuo, TC; Laksanawimol, P; Aylesworth, L; Foster, SJ; Vincent, ACJ",Changes in the trade of bycatch species corresponding to CITES regulations: the case of dried seahorse trade in Thailand,BIODIVERSITY AND CONSERVATION,2018,10.1007/s10531-018-1610-2,1,actinopterygii,syngnathiformes,medicinal,1,0.29,1.29,USD,1,1,volume,1,threat,1,NA
"Sung, YH; Fong, JJ",Assessing consumer trends and illegal activity by monitoring the online wildlife trade,BIOLOGICAL CONSERVATION,2018,10.1016/j.biocon.2018.09.025,136,reptilia,testudines,pet,1,1,50800,USD,1,1,"conservation,volume",1,threat,1,NA
"Janssen, J; Krishnasamy, K",Left hung out to dry: How inadequate international protection can fuel trade in endemic species - The case of the earless monitor,GLOBAL ECOLOGY AND CONSERVATION,2018,10.1016/j.gecco.2018.e00464,1,reptilia,squamata,pet,1,1360,7500,USD,1,1,volume,1,threat,1,NA
"Morgan, J; Chng, S",Rising internet-based trade in the Critically Endangered ploughshare tortoise Astrochelys yniphora in Indonesia highlights need for improved enforcement of CITES,ORYX,2018,10.1017/S003060531700031X,1,reptilia,testudines,pet,1,509,47000,USD,0,1,volume,1,"threat,endemic,abundance",0,NA
"Robinson, JE; Fraser, LM; St John, FAV; Randrianantoandro, JC; Andriantsimanarilafy, RR; Razafimanahaka, JH; Griffiths, RA; Roberts, DL",Wildlife supply chains in Madagascar from local collection to global export,BIOLOGICAL CONSERVATION,2018,10.1016/j.biocon.2018.07.027,24,"reptilia,amphibia",NA,pet,1,NA,NA,USD,0,0,NA,0,NA,0,NA
"Zhou, XH; Wang, Q; Zhang, W; Jin, Y; Wang, Z; Chai, Z; Zhou, ZQ; Cui, XF; MacMillan, DC",Elephant poaching and the ivory trade: The impact of demand reduction and enforcement efforts by China from 2005-2017,GLOBAL ECOLOGY AND CONSERVATION,2018,10.1016/j.gecco.2018.e00486,1,mammalia,proboscidea,product,1,NA,NA,CNY,1,1,volume,1,threat,1,NA
"Mambeya, MM; Baker, F; Momboua, BR; Pambo, AFK; Hega, M; Okouyi, VJO; Onanga, M; Challender, DWS; Ingram, DJ; Wang, HY; Abernethy, K",The emergence of a commercial trade in pangolins from Gabon,AFRICAN JOURNAL OF ECOLOGY,2018,10.1111/aje.12507,3,mammalia,pholidota,"food,medicinal",1,4.4,68.3,USD,1,1,volume,1,threat,0,NA
"Militz, TA; Foale, S; Kinch, J; Southgate, PC",Natural rarity places clownfish colour morphs at risk of targeted and opportunistic exploitation in a marine aquarium fishery,AQUATIC LIVING RESOURCES,2018,10.1051/alr/2018006,2,actinopterygii,pomacentridae,pet,1,5.36,150,USD,0,1,volume,1,morph,1,NA
"Nijman, V; Langgeng, A; Birot, H; Imron, MA; Nekaris, KAI","Wildlife trade, captive breeding and the imminent extinction of a songbird",GLOBAL ECOLOGY AND CONSERVATION,2018,10.1016/j.gecco.2018.e00425,3,aves,passeriformes,pet,1,85,140,USD,1,1,"volume,conservation",1,"threat,endemic",0,NA
"Gaviglio, A; Marescotti, ME; Demartini, E",The Local Value Chain of Hunted Red Deer Meat: A Scenario Analysis Based on a Northern Italian Case Study,RESOURCES-BASEL,2018,10.3390/resources7020034,1,mammalia,artiodactyla,food,0,9.8,9.8,EUR,0,0,NA,0,NA,0,NA
